Date,Type,Link
2026-02-09 16:35:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7426557941421596672
2026-02-08 15:40:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7426235614892806144?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7426235614892806144%2C7426278743423479809%29
2026-02-06 16:11:22,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7425065397739048961?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7425065397739048961%2C7425571476713418752%29
2026-02-06 12:54:37,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7424239591353835520?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7424239591353835520%2C7424253416824307712%29
2026-02-05 22:41:25,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7425142303020711936
2026-02-05 17:56:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7425189934363201536
2026-02-05 17:56:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7425181946776981504
2026-02-05 11:33:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7425065397739048961
2026-02-03 01:16:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7424172261043073025
2026-02-02 15:47:44,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7424103883829981184
2026-02-02 13:00:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7424038427446255616
2026-02-01 23:53:02,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7423865976682696704?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7423865976682696704%2C7423872426863697920%29
2026-01-31 20:12:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7422822357171523584
2026-01-30 23:13:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7423020803128184833
2026-01-30 21:07:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7422965582939152384
2026-01-30 18:55:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7423069168297705472
2026-01-30 17:55:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7423031480613838849
2026-01-30 17:55:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7422939520117047297
2026-01-30 17:47:55,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7423002508014383104
2026-01-30 17:17:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7422939592665944064?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7422939592665944064%2C7423040834566086656%29
2026-01-30 15:41:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7422939592665944064?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7422939592665944064%2C7422987772421910528%29
2026-01-30 15:39:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7422959019763621888?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7422959019763621888%2C7423022008596185088%29
2026-01-30 14:51:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7422959019763621888?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7422959019763621888%2C7423011959274536960%29
2026-01-30 14:15:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7422939592665944064
2026-01-30 14:11:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7422990354930491392
2026-01-30 14:02:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7422999403302551552
